console,title,average_rating,rating_count,genres
nes,Advanced Dungeons & Dragons - Pool of Radiance (USA),4.23,57,"['Strategy', 'Role-Playing']"
nes,Adventures in the Magic Kingdom (Europe),3.93,14,"['Action', 'Adventure']"
nes,Adventures in the Magic Kingdom (USA),3.79,38,"['Action', 'Adventure']"
nes,Adventures in the Magic Kingdom (USA) (Beta),4,11,"['Action', 'Adventure']"
nes,"Adventures of Bayou Billy, The (Europe)",4.77,13,"['Action', 'Driving/Racing', 'Shooter', 'Brawler', 'Platformer']"
nes,"Adventures of Bayou Billy, The (USA)",3.47,32,"['Action', 'Driving/Racing', 'Shooter', 'Brawler', 'Platformer']"
nes,"Adventures of Captain Comic, The (USA) (Unl)",4.23,26,"['Action', 'Platformer']"
nes,"Adventures of Dino Riki, The (USA)",3.96,28,[]
nes,"Adventures of Dr. Franken, The (USA) (Proto)",3.89,18,[]
nes,"Adventures of Gilligan's Island, The (USA)",3.32,19,['Adventure']
nes,Adventures of Lolo (Europe),4.68,40,"['Action', 'Strategy', 'Puzzle']"
nes,Adventures of Lolo (Japan),4.83,12,"['Action', 'Strategy', 'Puzzle']"
nes,Adventures of Lolo (USA),4.63,88,"['Action', 'Strategy', 'Puzzle']"
nes,Adventures of Lolo (USA) [Hack by Sivak Drac v1.0] (~Challenging Lolo),4.56,9,"['Action', 'Strategy', 'Puzzle']"
nes,Adventures of Lolo 2 (Europe),4.36,25,"['Action', 'Strategy', 'Puzzle']"
nes,Adventures of Lolo 2 (Japan),4.47,19,"['Action', 'Strategy', 'Puzzle']"
nes,Adventures of Lolo 2 (USA),4.27,48,"['Action', 'Strategy', 'Puzzle']"
nes,Adventures of Lolo 2 (USA) [Hack by Sivak Drac v1.0] (~Challenging Lolo 2),4,10,"['Action', 'Strategy', 'Puzzle']"
nes,Adventures of Lolo 3 (Europe),4.55,22,"['Action', 'Strategy', 'Puzzle']"
nes,Adventures of Lolo 3 (USA),4.55,55,"['Action', 'Strategy', 'Puzzle']"
nes,"Adventures of Rad Gravity, The (Europe)",4.1,21,[]
nes,"Adventures of Rad Gravity, The (USA)",3.68,22,[]
nes,"Adventures of Rocky and Bullwinkle and Friends, The (USA)",2.71,17,['Action']
nes,Adventures of Tom Sawyer (USA),3.5,16,"['Action', 'Platformer', ""Shoot 'Em Up""]"
nes,After Burner (USA) (Unl),4.2,25,['Action']
nes,After Burner II (Japan),4.39,23,"['Action', 'Flight Simulator']"
nes,Ai Sensei no Oshiete - Watashi no Hoshi (Japan),3.77,13,['Simulation']
nes,Aigiina no Yogen - From The Legend of Balubalouk (Japan),4.17,12,"['Action', 'Adventure', 'Platformer']"
nes,Air Fortress (Europe),4,11,"['Action', 'Shooter', 'Platformer']"
nes,Air Fortress (Japan),4.07,14,"['Action', 'Shooter', 'Platformer']"
nes,Air Fortress (USA),4.27,26,"['Action', 'Shooter', 'Platformer']"
nes,Airball (Proto1),3.94,17,[]
nes,Airball (Proto2),4.06,18,[]
nes,Airwolf (Europe),4.25,16,"[""Shoot 'Em Up""]"
nes,Airwolf (Japan),4.35,23,"[""Shoot 'Em Up""]"
nes,Airwolf (Japan) [En by Vice v1.0],4.09,11,"[""Shoot 'Em Up""]"
nes,Airwolf (USA),3.65,20,"[""Shoot 'Em Up""]"
nes,Akagawa Jirou no Yuurei Ressha (Japan),4.2,15,['Adventure']
nes,Akira (Japan),4.28,25,['Adventure']
nes,Akuma no Shoutaijou (Japan),4.45,20,[]
nes,Akuma-kun - Makai no Wana (Japan),4.31,16,"['Adventure', 'Role-Playing']"
nes,Akumajou Densetsu (Japan),4.62,76,[]
nes,Akumajou Densetsu (Japan) [En by Vice v1.0] (~Legend of Demon Castle - Castlevania III),4.68,53,[]
nes,Akumajou Dracula (Japan),4.46,56,[]
nes,Akumajou Special - Boku Dracula-kun (Japan),4.64,73,[]
nes,Akumajou Special - Boku Dracula-kun (Japan) [En by Vice v1.04] (~I'm Kid Dracula!!),4.65,100,[]
nes,Al Unser Jr. Turbo Racing (USA),4.23,26,"['Sports', 'Driving/Racing', 'Simulation']"
nes,Aladdin (Europe),4.15,106,"['Action', 'Adventure', 'Platformer']"
nes,Alfred Chicken (Europe),4,12,"['Action', 'Platformer']"
nes,Alfred Chicken (USA),3.6,15,"['Action', 'Platformer']"
nes,Alien 3 (Europe),4.22,27,['Action']
nes,Alien 3 (USA),3.83,42,['Action']
nes,Alien Syndrome (Japan),4.35,17,"['Action', 'Shooter']"
nes,Alien Syndrome (USA) (Unl),4.2,49,"['Action', 'Shooter']"
nes,Alien VS Predator (C),4.18,22,[]
nes,All-Pro Basketball (USA),3.5,12,"['Sports', 'Basketball']"
nes,Alpha Mission (Europe),3.94,16,"[""Shoot 'Em Up""]"
nes,Alpha Mission (USA),4.18,17,"[""Shoot 'Em Up""]"
nes,Amagon (USA),4.39,41,"['Action', 'Platformer']"
nes,America Daitouryou Senkyo (Japan),4.17,12,"['Strategy', 'Simulation']"
nes,America Oudan Ultra Quiz - Shijou Saidai no Tatakai (Japan),4.09,11,[]
nes,American Dream (Japan),4.17,12,"['Adventure', 'Simulation']"
nes,American Dream (Japan) [En by Pale Dim v1.0],3.91,11,"['Adventure', 'Simulation']"
nes,American Gladiators (USA),4.2,20,"['Action', 'Sports', 'Simulation']"
nes,Ankoku Shinwa - Yamato Takeru Densetsu (Japan),4.23,13,"['Action', 'Adventure']"
nes,Anticipation (Europe),4.07,14,['Trivia/Board Game']
nes,Anticipation (USA),4.37,19,['Trivia/Board Game']
nes,Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan),4.19,21,[]
nes,Aoki Ookami to Shiroki Mejika - Genghis Khan (Japan),4.22,18,[]
nes,Arabian Dream Scheherazade (Japan),3.92,12,[]
nes,Arch Rivals - A Basket Brawl! (Europe),4.17,12,[]
nes,Arch Rivals - A Basket Brawl! (USA),4,14,[]
nes,Archon (USA),3.43,30,"['Action', 'Strategy']"
nes,Arctic (Japan),3.89,9,['Puzzle']
nes,Arctic Adventure - The Penguin & Seal (Australia) (Unl),4.12,17,[]
nes,Argos no Senshi (Japan),4.54,26,[]
nes,Argus (Japan),3.91,11,"[""Shoot 'Em Up""]"
nes,Arkanoid (Japan),4.46,24,"['Action', 'Block-Breaking']"
nes,Arkanoid (USA),4.62,95,"['Action', 'Block-Breaking']"
nes,Arkanoid (USA) [Hack by Dragon Eye Studios v1.0] (~Arkanoid - Dimension of Doh),4.17,12,"['Action', 'Block-Breaking']"
nes,Arkanoid II (Japan),4.36,28,[]
nes,Arkista's Ring (USA),4,29,"['Action', 'Puzzle']"
nes,Armadillo (Japan),4.48,31,"['Action', 'Adventure']"
nes,Armadillo (Japan) [En by Vice v1.01],4.31,35,"['Action', 'Adventure']"
nes,Artelius (Japan),4,11,"['Role-Playing', 'Shooter']"
nes,ASDER PC-95 (16-in-1) (Arab),3.08,233,[]
nes,ASDER PC-95 (16-in-1) (Poland),3.91,111,[]
nes,Asmik-kun Land (Japan),4.21,14,"['Action', 'Platformer']"
nes,ASO - Armored Scrum Object (Japan),3.79,24,['Shooter']
nes,"Asterix (Europe) (En,Fr,De,Es,It)",4.24,51,['Platformer']
nes,Astro Fang - Super Machine (Japan),3.92,13,"['Action', 'Driving/Racing']"
nes,Astro Fang - Super Machine (Japan) [En by Caution v20010704],3.8,10,"['Action', 'Driving/Racing']"
nes,Astro Robo Sasa (Japan),4.17,12,"['Action', 'Puzzle']"
nes,Astyanax (Europe),4.07,15,"['Action', 'Platformer']"
nes,Astyanax (USA),4.54,46,"['Action', 'Platformer']"
nes,Astyanax (USA) (Beta),3.89,9,"['Action', 'Platformer']"
nes,Athena (Japan),4.23,13,"['Action', 'Platformer']"
nes,Athena (USA),4.08,25,"['Action', 'Platformer']"
nes,Athletic World (Europe),4,11,"['Sports', 'Track & Field']"
nes,Athletic World (USA),3.93,15,"['Sports', 'Track & Field']"
nes,Atlantis no Nazo (Japan),4.18,49,['Action']
nes,Atlantis no Nazo (Japan) (Beta),3.75,12,['Action']
nes,Attack Animal Gakuen (Japan),4.15,13,"['Action', 'Shooter']"
nes,Attack Animal Gakuen (Japan) [En by PentarouZero v1.0] (~Attack Animal Academy),4,13,"['Action', 'Shooter']"
nes,Attack of the Killer Tomatoes (Europe),3.75,12,['Action']
nes,Attack of the Killer Tomatoes (USA),4.29,17,['Action']
nes,Aussie Rules Footy (Australia),4.25,24,['Sports']
nes,Auto-Upturn (Asia) (Unl) (NES),3.9,10,[]
nes,AV Dragon Mahjang (Asia) (Unl),4.33,15,[]
nes,AV Hanafuda Club (Asia) (Unl),4,10,[]
nes,AV Kyuukyoku Mahjong 2 (Asia) (Unl),4.09,11,[]
nes,AV Mahjong Club (Japan) (Unl),3.77,13,[]
nes,AV Pachi Slot (Japan) (Unl),3.6,15,[]
nes,AV Poker (Japan) (Unl),4.09,11,[]
nes,AV Soccer (Japan) (Unl),4.09,11,[]
nes,B-Wings (Japan),4.44,156,"['Action', ""Shoot 'Em Up""]"
nes,Babel no Tou (Japan),4.45,29,"['Puzzle', 'Platformer']"
nes,Baby Boomer (USA) (Unl),3.67,15,['Light-Gun Shooter']
nes,Back to the Future (USA),3.51,145,['Action']
nes,Back to the Future Part II & III (USA),3.88,43,"['Action', 'Adventure', 'Puzzle']"
nes,Bad Dudes (USA),4.05,38,['Action']
nes,Bad Dudes vs. Dragon Ninja (Europe),4.29,21,[]
nes,Bad News Baseball (USA),4.64,42,['Baseball']
nes,Bad Street Brawler (USA),4.13,16,['Brawler']
nes,Baken Hisshou Gaku - Gate In (Japan),4.23,13,[]
nes,Bakushou! Star Monomane Shitennou (Japan),4,10,"['Strategy', 'Simulation']"
nes,Bakushou!! Ai no Gekijou (Japan),4.17,12,"['Simulation', 'Trivia/Board Game']"
nes,Bakushou!! Jinsei Gekijou (Japan),4,16,"['Simulation', 'Trivia/Board Game']"
nes,Bakushou!! Jinsei Gekijou 2 (Japan),4.09,11,"['Simulation', 'Trivia/Board Game']"
nes,Bakushou!! Jinsei Gekijou 3 (Japan),4.11,18,['Simulation']
nes,Ball Story - Jong Yuk Chuen Suet Fa Jong II (China) (Unl),3.89,9,[]
nes,Ballblazer (Japan),3.73,11,"['Action', 'Sports', 'Driving/Racing']"
nes,Balloon Fight (Europe),4.56,41,['Action']
nes,Balloon Fight (Japan),4.66,67,['Action']
nes,Balloon Fight (USA),4.53,246,['Action']
nes,Balloon Monster (Unl),3.56,16,[]
nes,Baltron (Japan),4.15,13,"[""Shoot 'Em Up""]"
nes,Banana (Japan),4.09,34,"['Action', 'Strategy', 'Puzzle']"
nes,Banana Prince (Germany),4.62,34,"['Action', 'Adventure', 'Platformer']"
nes,Banana Prince (Germany) [En by KingMike v1.1a],4.19,27,"['Action', 'Adventure', 'Platformer']"
nes,Bananan Ouji no Daibouken (Japan),4.32,19,"['Action', 'Adventure', 'Platformer']"
nes,Bandai Golf - Challenge Pebble Beach (USA),3.67,12,['Golf']
nes,Bandit Kings of Ancient China (USA),4.25,28,"['Strategy', 'Role-Playing']"
