console,title,average_rating,rating_count,genres
n64,Hydro Thunder (Europe),4.77,13,"['Action', 'Driving/Racing']"
n64,Hydro Thunder (France),5,6,"['Action', 'Driving/Racing']"
n64,Hydro Thunder (USA),4.31,78,"['Action', 'Driving/Racing']"
n64,Hyper Olympics in Nagano 64 (Japan),4.73,11,[]
n64,Ide Yosuke no Mahjong Juku (Japan),4.17,6,[]
n64,Iggy-kun no Bura Bura Poyon (Japan),4.4,5,[]
n64,Iggy's Reckin' Balls (Europe),4.78,9,"['Driving/Racing', 'Puzzle', 'Platformer']"
n64,Iggy's Reckin' Balls (USA),4.5,26,"['Driving/Racing', 'Puzzle', 'Platformer']"
n64,In-Fisherman - Bass Hunter 64 (Europe),4.13,8,[]
n64,In-Fisherman - Bass Hunter 64 (USA),4.75,12,[]
n64,Indiana Jones and the Infernal Machine (USA),4.33,85,"['Action', 'Adventure']"
n64,Indy Racing 2000 (USA),4.87,15,"['Driving/Racing', 'Simulation']"
n64,International Superstar Soccer '98 (Europe),4.56,34,['Sports']
n64,International Superstar Soccer '98 (USA),4.82,44,['Sports']
n64,"International Superstar Soccer 2000 (Europe) (En,De)",4.55,47,['Sports']
n64,"International Superstar Soccer 2000 (Europe) (Fr,It)",4.63,63,['Sports']
n64,"International Superstar Soccer 2000 (USA) (En,Es)",4.6,131,['Sports']
n64,International Superstar Soccer 64 (Europe),4.38,60,"['Sports', 'Soccer']"
n64,International Superstar Soccer 64 (USA),4.39,114,"['Sports', 'Soccer']"
n64,"International Track & Field - Summer Games (Europe) (En,Fr,De)",4.88,16,[]
n64,International Track & Field 2000 (USA),4.54,13,"['Sports', 'Track & Field']"
n64,Itoi Shigesato no Bass Tsuri No. 1 Kettei Ban! (Japan),4.45,645,[]
n64,J.League Dynamite Soccer 64 (Japan),4.56,9,[]
n64,J.League Eleven Beat 1997 (Japan),4.56,9,[]
n64,J.League Live 64 (Japan),4.57,7,[]
n64,J.League Tactics Soccer (Japan),4.4,5,[]
n64,J.League Tactics Soccer (Japan) (Rev A),4.4,5,[]
n64,Jangou Simulation Mahjong Dou 64 (Japan),4.33,6,[]
n64,Jeopardy! (USA),3.7,10,[]
n64,Jeremy McGrath Supercross 2000 (Europe),5,8,"['Sports', 'Driving/Racing']"
n64,Jeremy McGrath Supercross 2000 (USA),4.64,11,"['Sports', 'Driving/Racing']"
n64,"Jet Force Gemini (Europe) (En,Fr,De,Es)",4.48,260,"['Action', 'Shooter', 'Platformer']"
n64,Jet Force Gemini (USA),4.14,343,"['Action', 'Shooter', 'Platformer']"
n64,Jet Force Gemini (USA) (Kiosk Demo),4.64,11,"['Action', 'Shooter', 'Platformer']"
n64,Jikkyou G1 Stable (Japan),5,22,[]
n64,Jikkyou J.League 1999 - Perfect Striker 2 (Japan),4.82,17,[]
n64,Jikkyou J.League Perfect Striker (Japan),4.55,20,[]
n64,Jikkyou Powerful Pro Yakyuu 2000 (Japan),4.67,24,['Baseball']
n64,Jikkyou Powerful Pro Yakyuu 2000 (Japan) (Rev A),4.22,18,['Baseball']
n64,Jikkyou Powerful Pro Yakyuu 4 (Japan),5,13,['Baseball']
n64,Jikkyou Powerful Pro Yakyuu 4 (Japan) (Rev A),4.78,9,['Baseball']
n64,Jikkyou Powerful Pro Yakyuu 5 (Japan),4.65,20,['Baseball']
n64,Jikkyou Powerful Pro Yakyuu 5 (Japan) (Rev B),5,7,['Baseball']
n64,Jikkyou Powerful Pro Yakyuu 6 (Japan),4.45,64,['Baseball']
n64,Jikkyou Powerful Pro Yakyuu Basic Ban 2001 (Japan),4.3,20,[]
n64,Jikkyou World Soccer - World Cup France '98 (Japan),4.67,12,[]
n64,Jikkyou World Soccer - World Cup France '98 (Japan) (Rev A),4.83,6,[]
n64,Jikkyou World Soccer - World Cup France '98 (Japan) (Rev B),5,5,[]
n64,Jikkyou World Soccer 3 (Japan),5,8,[]
n64,Jikuu Senshi Turok (Japan),4.9,10,[]
n64,Jinsei Game 64 (Japan),4.53,17,[]
n64,"John Romero's Daikatana (Europe) (En,Fr,De)",3.9,21,"['Action', 'Role-Playing', 'Shooter', 'First-Person Shooter']"
n64,John Romero's Daikatana (Japan),4.43,7,"['Action', 'Role-Playing', 'Shooter', 'First-Person Shooter']"
n64,John Romero's Daikatana (USA),3.71,24,"['Action', 'Role-Playing', 'Shooter', 'First-Person Shooter']"
n64,Kakutou Denshou - F-Cup Maniax (Japan),4.4,10,[]
n64,Ken Griffey Jr.'s Slugfest (USA),4.75,51,"['Sports', 'Baseball']"
n64,Killer Instinct Gold (Europe),4.61,120,['Fighting']
n64,Killer Instinct Gold (USA),4.34,950,['Fighting']
n64,Killer Instinct Gold (USA) (Rev A),4.36,47,['Fighting']
n64,Killer Instinct Gold (USA) (Rev B),4.56,169,['Fighting']
n64,King Hill 64 - Extreme Snowboarding (Japan),4.71,7,[]
n64,Kiratto Kaiketsu! 64 Tanteidan (Japan),4.13,8,[]
n64,Knife Edge - Nose Gunner (Europe),4.43,7,"['Action', 'Shooter']"
n64,Knife Edge - Nose Gunner (Japan),3.56,9,"['Action', 'Shooter']"
n64,Knife Edge - Nose Gunner (USA),4.92,12,"['Action', 'Shooter']"
n64,Knockout Kings 2000 (Europe),5,11,['Sports']
n64,Knockout Kings 2000 (USA),4.68,31,['Sports']
n64,Kobe Bryant in NBA Courtside (Europe),5,12,"['Sports', 'Basketball']"
n64,Kobe Bryant's NBA Courtside (USA),4.58,24,[]
n64,Last Legion UX (Japan),4.79,14,['Platformer']
n64,"LEGO Racers (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)",4.46,39,['Driving/Racing']
n64,"LEGO Racers (USA) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)",4.1,96,['Driving/Racing']
n64,Let's Smash (Japan),5,6,[]
n64,"Lode Runner 3-D (Europe) (En,Fr,De,Es,It)",4.77,13,[]
