title,rating_count,console,genres,average_rating
Aerowings 2 - Airstrike,88,sega_dreamcast,|Simulation| Flight Simulator,4.228181818181818
Afl Live 2003,28,ps2,Sports| Football,4.25
Afl Live 2004,16,ps2,Sports| Football,4.38
Afl Premiership 2005,15,ps2,Sports| Football,4.07
Afl Premiership 2006,12,ps2,Sports| Football,4.75
Afl Premiership 2007,22,ps2,Sports,4.32
After Burner,25,nes,Action,4.2
After Burner Ii,82,sega_megadrive|nes,Action| Flight Simulator,4.520975609756098
After- - Wasureenu Kizuna,5,sega_dreamcast,Adventure,5.0
Agassi Tennis Generation,46,ps2,Tennis,4.240434782608696
Age Of Empires Ii - The Age Of Kings,726,ps2,Strategy| Real-Time Strategy,4.221680440771349
Agent Armstrong,20,ps_one,Action,3.85
Agent Hugo,29,ps2,Action| Adventure,4.1
Agent Hugo - Hula Holiday,42,ps2,Platformer,4.05
Agent Hugo - Lemoon Twist,35,ps2,Platformer,4.29
Agent Hugo - Roborumble,24,ps2,Action| Driving/Racing,4.25
Aggressive Inline,90,ps2,Sports,4.666777777777778
Agile Warrior F-111X,19,ps_one,Simulation,4.47
Ai Sensei No Oshiete - Watashi No Hoshi,13,nes,Simulation,3.77
Aidyn Chronicles - The First Mage,109,n64,Role-Playing,4.483119266055046
Aigiina No Yogen - From The Legend Of Balubalouk,12,nes,Action| Adventure| Platformer,4.17
Aikagi,10,sega_dreamcast,Adventure,5.0
Air,5,sega_dreamcast,Adventure,5.0
Air Buster,28,sega_megadrive,Action,4.68
Air Cavalry,20,super_nintendo,Action| Flight Simulator| Vehicular Combat,4.7
Air Combat,129,ps_one,Action| Simulation| Flight Simulator,4.564418604651163
Air Diver,17,sega_megadrive,Action,4.291764705882353
Air Fortress,51,nes,Action| Shooter| Platformer,4.1568627450980395
Air Raid 3,316,ps2,Flight Simulator,4.69
Air Ranger - Rescue Helicopter,45,ps2,Flight Simulator,4.76
Air Strike Patrol,27,super_nintendo,Action| Shoot Em Up,4.59
Airblade,78,ps2,Action| Sports| Driving/Racing,4.191538461538461
Airborne Troops - Countdown To D-Day,65,ps2,Shooter,4.203692307692307
Airforce Delta,194,sega_dreamcast,|Action| Flight Simulator,4.166237113402062
Airforce Delta Strike,103,ps2,Action,4.47
Airs Adventure,13,sega_saturn,Adventure| Role-Playing,4.15
Airwolf,70,nes,Shoot Em Up,4.086285714285714
Akagawa Jirou No Yuurei Ressha,15,nes,Adventure,4.2
Akazukin Chacha,11,super_nintendo,Role-Playing,5.0
Akira,25,nes,Adventure,4.28
Akira Psycho Ball,31,ps2,Pinball,4.9
Akuji - The Heartless,136,ps_one,Action| Adventure,4.76
Akuma-Kun - Makai No Wana,16,nes,Adventure| Role-Playing,4.31
Al Unser Jr. Turbo Racing,26,nes,Sports| Driving/Racing| Simulation,4.23
Al Unser Jr.'S Road To The Top,12,super_nintendo,Driving/Racing,4.75
Aladdin,3362,super_nintendo|sega_megadrive|nes,Action| Adventure| Platformer,4.473908387864366
Alan Hansen'S Sports Challenge,11,ps2,Trivia/Board Game,4.45
Alarm For Cobra 11,16,ps2,Driving/Racing,4.75
Albert Odyssey,385,super_nintendo|sega_saturn,Strategy| Role-Playing|Role-Playing,4.587896103896104
Alcahest,33,super_nintendo,Role-Playing| Action-Adventure,4.941818181818181
Alex Ferguson'S Player Manager 2001,70,ps_one|ps2,Soccer,3.6449999999999996
Alex Kidd In The Enchanted Castle,135,sega_megadrive,Adventure| Platformer,4.272666666666666
Alexi Lalas International Soccer,11,ps_one,Soccer,4.82
Alfa Romeo Racing Italiano,39,ps2,Driving/Racing,4.49
Alfred Chicken,39,super_nintendo|nes,Action| Platformer,4.153846153846154
Alias,61,ps2,Action| Shooter,4.559508196721311
Alice No Paint Adventure,8,super_nintendo,Adventure| Role-Playing| Simulation| Compilation| Text Adventure,4.88
